a,b,c,d,e,f,g,h,i,j,k
27.389,16.1909,16.1947,4.658,2.686,0,1.9232,0.2101,0.0114,0,0
27.2838,16.2037,16.2076,4.736,2.6856,0.0001,1.7661,0.1941,0.0101,0.0008,0
27.2693,16.2066,16.2105,4.8,2.6835,0,1.7358,0.1943,0.011,0.0003,0
27.351,16.209,16.2129,4.85,2.681,0.0001,2.0069,0.1946,0.0104,0,0
27.3207,16.2089,16.2128,4.887,2.6775,0,2.025,0.1967,0.0099,0,0
27.2907,16.2013,16.2052,4.898,2.6728,0.0005,1.8669,0.1967,0.0105,0.0001,0
27.2925,16.1913,16.1951,4.883,2.6692,0.0003,1.8544,0.1967,0.01,0,0
27.291,16.1876,16.1915,4.843,2.6632,0.0008,1.8912,0.2113,0.0092,0.0004,0
27.3022,16.1908,16.1947,4.806,2.6609,0.0006,1.8737,0.2109,0.0098,0,0
27.299,16.2011,16.205,4.749,2.6578,0,2.0053,0.2116,0.0101,0.0004,0
27.1744,16.2112,16.2151,4.702,2.6557,0,1.9487,0.2113,0.0092,0.0001,0
27.1103,16.2125,16.2164,4.656,2.6543,0.0001,1.8696,0.2029,0.0101,0,0
26.7928,16.2091,16.213,4.634,2.6532,0.0004,1.9982,0.2031,0.0101,0.0003,0
26.679,16.2021,16.206,4.64,2.653,0.0004,1.9959,0.2028,0.0111,0.0002,0
26.8263,16.1954,16.1992,4.652,2.6535,0.0001,1.9494,0.21,0.0099,0.0005,0
26.7773,16.1935,16.1974,4.682,2.6542,0,2.0755,0.21,0.0092,0.0002,0
26.8031,16.1972,16.2011,4.71,2.654,0,2.0875,0.2095,0.0096,0,0
26.5812,16.2045,16.2084,4.745,2.6551,0.001,2.1073,0.2097,0.0092,0.0004,0
25.8522,16.2066,16.2105,4.782,2.6537,0.0002,2.028,0.1747,0.0085,0.0001,0
24.698,16.1954,16.1993,4.803,2.6524,0,1.8381,0.1749,0.009,0,0
24.585,16.1748,16.1787,4.8,2.649,0.0002,1.9397,0.1752,0.0098,0.0002,0
25.3023,16.1626,16.1665,4.782,2.644,0.0008,1.9399,0.1704,0.0092,0.0002,0
25.4736,16.1656,16.1695,4.758,2.6385,0.0003,1.9565,0.1698,0.0086,0.0001,0
25.1927,16.1751,16.179,4.718,2.6329,0.0006,2.1018,0.1707,0.0089,0,0
24.9426,16.178,16.1819,4.679,2.6275,0.0008,2.1011,0.1837,0.0084,0,0
24.8487,16.1749,16.1788,4.638,2.6202,0,1.9337,0.1832,0.0097,0.0007,0
24.693,16.1714,16.1753,4.607,2.6094,0,1.9539,0.1831,0.0084,0,0
24.4716,16.1656,16.1694,4.577,2.5983,0,1.9022,0.1838,0.0089,0.0007,0
24.4514,16.1571,16.161,4.557,2.5854,0.0002,1.8723,0.1814,0.0099,0.0005,0
24.5324,16.1515,16.1554,4.558,2.573,0,2.1361,0.1812,0.0087,0.0008,0
24.4932,16.1482,16.1521,4.573,2.5621,0,2.1676,0.1814,0.01,0,0
24.6401,16.1439,16.1478,4.597,2.5502,0.0001,2.1611,0.1548,0.0101,0,0
24.7043,16.1398,16.1437,4.647,2.5394,0.0002,2.1165,0.155,0.0103,0,0
24.6305,16.136,16.1399,4.716,2.5286,0,2.0366,0.1553,0.0092,0,0
24.4725,16.1331,16.1369,4.792,2.5178,0,2.0656,0.1499,0.0092,0.0002,0
23.9313,16.1316,16.1355,4.887,2.5059,0.0002,2.032,0.1506,0.0096,0.0001,0
23.8431,16.1314,16.1353,4.976,2.4971,0.0007,2.192,0.1502,0.0093,0.0002,0
24.2856,16.1342,16.1381,5.055,2.4859,0,2.2148,0.15,0.0099,0,0
24.3921,16.1379,16.1418,5.116,2.4786,0.0001,2.192,0.1567,0.0089,0.0007,0
24.5047,16.1368,16.1406,5.14,2.4707,0.0002,2.2089,0.1564,0.0096,0.0001,0
25.4386,16.1309,16.1348,5.142,2.4659,0,2.2769,0.156,0.0092,0,0
25.8281,16.1229,16.1268,5.118,2.4591,0,2.2978,0.1615,0.0089,0.0003,0
25.7216,16.1189,16.1227,5.059,2.4503,0.0002,2.1714,0.1616,0.0092,0.0001,0
25.9081,16.1234,16.1273,4.978,2.443,0.0002,2.2332,0.1614,0.0105,0.0005,0
25.5555,16.1309,16.1348,4.881,2.4366,0.0005,2.127,0.1615,0.0108,0.0003,0
25.5837,16.1366,16.1405,4.778,2.4319,0.0001,2.1487,0.1796,0.0095,0,0
25.6848,16.1425,16.1463,4.682,2.429,0.0004,2.2235,0.18,0.0089,0.0003,0
25.4377,16.1477,16.1515,4.594,2.4292,0.0003,2.1698,0.1805,0.0083,0.0008,0
25.3762,16.1502,16.1541,4.536,2.4306,0,2.1334,0.1792,0.0081,0.0004,0
25.5571,16.1526,16.1564,4.492,2.4353,0.0003,2.2361,0.1789,0.0087,0.0007,0
25.6814,16.158,16.1619,4.468,2.4408,0.0002,2.1772,0.1786,0.0087,0.0002,0
25.9418,16.1648,16.1687,4.469,2.4493,0,2.182,0.1801,0.0091,0.0005,0
26.2942,16.1721,16.1759,4.493,2.4562,0.0003,1.9908,0.1802,0.0097,0.0002,0
26.3562,16.1788,16.1827,4.539,2.4618,0.0008,1.7758,0.1794,0.009,0.0005,0
25.8658,16.1844,16.1883,4.606,2.4689,0.0002,1.9979,0.1804,0.0089,0.0002,0
26.1489,16.1824,16.1863,4.682,2.4727,0.0004,1.8516,0.193,0.0092,0,0
26.1941,16.1766,16.1805,4.762,2.4778,0,1.9455,0.193,0.0101,0,0
26.0907,16.1675,16.1714,4.854,2.4824,0,1.9388,0.1938,0.0091,0.0001,0
26.1019,16.1588,16.1627,4.941,2.4862,0.0001,2.032,0.1771,0.0094,0.0001,0
26.1845,16.1522,16.156,5.025,2.4923,0,1.9469,0.1781,0.01,0.0005,0
26.1375,16.1461,16.1499,5.097,2.4974,0.0001,1.835,0.1777,0.0092,0.0002,0
25.9467,16.1404,16.1443,5.142,2.5041,0.0001,2.0533,0.1701,0.0082,0.001,0
25.9261,16.1372,16.141,5.153,2.5103,0.0006,2.155,0.1705,0.0083,0.0002,0
25.8499,16.1353,16.1392,5.118,2.5145,0,2.1616,0.1701,0.0089,0.0002,0
25.8556,16.1352,16.1391,5.043,2.5187,0.0005,2.1077,0.1707,0.0098,0,0
25.8876,16.1372,16.1411,4.938,2.522,0,2.0575,0.1811,0.0094,0.0001,0
25.8297,16.1389,16.1428,4.812,2.5257,0.0006,1.8431,0.1808,0.0094,0,0
25.678,16.1414,16.1453,4.681,2.5292,0.0001,1.8418,0.1815,0.0085,0,0
25.7691,16.145,16.1489,4.557,2.5314,0.0002,1.8726,0.1874,0.0086,0,0
26.0092,16.1582,16.1621,4.45,2.5327,0.0011,2.0208,0.1869,0.0093,0,0
26.1547,16.1782,16.1821,4.373,2.5344,0.0002,1.8408,0.187,0.0092,0,0
26.6794,16.2004,16.2043,4.347,2.536,0.0006,1.8605,0.1872,0.0088,0.0002,0
26.7197,16.2327,16.2366,4.349,2.5365,0,1.9152,0.2078,0.0089,0.0002,0
26.6334,16.2571,16.261,4.397,2.5351,0.0004,2.0036,0.2079,0.009,0,0
